Sensor Noise Accelerometer,Sensor Noise Gyroscope,Sensor Noise Magnetometer,Sensor Noise Pressure,Rotor Orientation,Gravity_x,Gravity_y,Gravity_z,Magnetic Field_x,Magnetic Field_y,Magnetic Field_z,Wind_x,Wind_y,Wind_z,Wind Deviation_x,Wind Deviation_y,Wind Deviation_z,Number of Iterations,Battery Consumption,Number of Ground Contacts,Number of Engine Failures,Number of Mission Failures
0.04,0.087,0.003,0.288,x,0.0,0.0,9.80665,0.488,0.406,0.594,4.6,1.8,8.4,0.7,9.4,6.8,824,0.1863180000000001,1,0,0
0.035,0.049,0.006,0.848,+,0.0,0.0,9.80665,0.416,0.587,0.348,13.2,12.8,3.7,3.5,7.5,0.1,812,0.18765490000000018,1,0,0
0.014,0.052,0.005,0.855,x,0.0,0.0,9.80665,0.464,0.548,0.059,14.8,19.5,2.2,5.8,2.8,7.5,819,0.4100066000000001,61,0,0
0.037,0.065,0.008,0.442,x,0.0,0.0,9.80665,0.454,0.422,0.031,16.4,19.5,12.8,6.2,0.2,9.6,806,0.40732893000000014,61,0,0
0.05,0.004,0.001,0.897,+,0.0,0.0,9.80665,0.58,0.299,0.344,5.4,8.1,13.7,2.8,6.2,4.5,818,0.18918946000000014,1,0,0
0.013,0.063,0.008,0.377,x,0.0,0.0,9.80665,0.519,0.404,0.525,1.3,8.3,1.3,2.6,8.8,6.3,830,0.18715380000000015,1,0,0
0.054,0.064,0.008,0.659,x,0.0,0.0,9.80665,0.643,0.509,0.143,10.7,5.3,8.1,6.4,7.5,6.2,800,0.18134114000000012,1,0,0
0.018,0.069,0.007,0.635,x,0.0,0.0,9.80665,0.138,0.117,0.569,14.8,2.5,7.5,8.1,3.8,7.8,805,0.18682520000000014,1,0,0
0.093,0.076,0.0,0.204,+,0.0,0.0,9.80665,0.101,0.433,0.454,1.1,1.9,2.5,3.5,7.0,2.7,819,0.18827173000000008,1,0,0
0.079,0.081,0.007,0.851,+,0.0,0.0,9.80665,0.397,0.029,0.277,14.8,15.7,19.9,1.4,5.3,6.7,62,0.25027790000000005,61,0,0
0.013,0.038,0.007,0.396,+,0.0,0.0,9.80665,0.124,0.196,0.449,4.5,5.5,2.0,7.4,6.3,1.3,817,0.18584990000000012,1,0,0
0.046,0.053,0.0,0.045,x,0.0,0.0,9.80665,0.194,0.433,0.261,5.2,9.4,3.9,1.8,3.9,5.5,828,0.1886935500000001,1,0,0
0.04,0.039,0.004,0.073,x,0.0,0.0,9.80665,0.463,0.269,0.186,9.4,5.0,10.6,4.7,4.2,5.0,792,0.17978230000000006,1,0,0
0.063,0.068,0.003,0.384,+,0.0,0.0,9.80665,0.504,0.245,0.526,11.0,8.8,16.6,6.1,3.2,5.9,802,0.1821218400000001,1,0,0
0.077,0.081,0.0,0.123,+,0.0,0.0,9.80665,0.357,0.301,0.321,3.3,7.7,16.2,0.8,3.0,5.9,820,0.1816407000000001,1,0,0
0.013,0.004,0.01,0.677,+,0.0,0.0,9.80665,0.065,0.395,0.595,3.3,18.7,0.5,4.7,2.9,7.9,837,0.38289450000000014,53,0,0
0.031,0.005,0.004,0.692,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,16.1,7.3,9.9,2.8,1.4,9.6,814,0.2018057000000002,1,0,0
0.034,0.022,0.008,0.514,+,0.0,0.0,9.80665,0.545,0.21,0.273,10.4,1.5,3.2,6.3,8.2,5.7,815,0.18546274000000007,1,0,0
0.064,0.031,0.005,0.218,+,0.0,0.0,9.80665,0.62,0.128,0.323,10.0,12.7,2.1,3.6,4.4,3.6,815,0.1845546,1,0,0
0.041,0.059,0.002,0.249,+,0.0,0.0,9.80665,0.189,0.154,0.187,10.7,18.4,7.8,4.4,9.6,4.0,840,0.39308500000000013,55,0,0
0.089,0.072,0.002,0.703,x,0.0,0.0,9.80665,0.23,0.577,0.084,3.4,10.9,8.2,6.4,0.3,0.8,836,0.18934897000000017,1,0,0
0.07,0.084,0.003,0.114,x,0.0,0.0,9.80665,0.293,0.259,0.471,18.0,13.6,0.1,0.2,5.1,8.9,817,0.39684240000000015,57,0,0
0.1,0.072,0.009,0.084,+,0.0,0.0,9.80665,0.511,0.41,0.548,13.3,13.1,18.0,5.8,6.5,8.4,804,0.19941285000000009,1,0,0
0.066,0.059,0.006,0.736,x,0.0,0.0,9.80665,0.059,0.013,0.447,19.4,1.8,6.3,6.9,2.7,5.6,798,0.3652238000000002,49,0,0
0.025,0.023,0.001,0.724,+,0.0,0.0,9.80665,0.103,0.165,0.575,15.6,10.3,5.8,4.6,7.7,3.8,808,0.1989685000000001,1,0,0
0.069,0.09,0.005,0.669,+,0.0,0.0,9.80665,0.455,0.211,0.506,11.0,1.9,1.8,1.4,9.9,5.0,827,0.1867181400000001,1,0,0
0.069,0.012,0.007,0.354,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,19.0,12.0,3.2,7.3,1.5,6.1,812,0.40299360000000006,59,0,0
0.053,0.052,0.007,0.351,x,0.0,0.0,9.80665,0.505,0.328,0.125,13.0,12.5,10.8,7.9,9.4,0.1,796,0.18502190000000018,1,0,0
0.03,0.064,0.007,0.538,x,0.0,0.0,9.80665,0.411,0.542,0.093,18.6,4.7,15.1,3.7,3.7,7.1,811,0.3740808000000001,51,0,0
0.022,0.041,0.001,0.559,x,0.0,0.0,9.80665,0.24,0.282,0.554,10.5,17.9,9.3,2.1,2.8,4.7,857,0.3925474000000001,54,0,0
0.093,0.045,0.008,0.6,x,0.0,0.0,9.80665,0.372,0.629,0.411,0.5,19.0,9.3,0.2,0.4,5.9,821,0.2569939000000001,17,0,0
0.072,0.083,0.001,0.664,+,0.0,0.0,9.80665,0.261,0.626,0.616,14.9,16.2,12.5,3.4,1.3,1.4,830,0.4006844500000001,57,0,0
0.044,0.081,0.007,0.601,+,0.0,0.0,9.80665,0.555,0.365,0.46,19.5,3.8,19.8,8.7,9.5,7.5,62,0.011018400000000206,0,0,0
0.099,0.025,0.001,0.591,x,0.0,0.0,9.80665,0.01,0.621,0.22,17.4,3.0,4.6,0.2,4.3,4.5,891,0.22477105000000008,7,0,0
0.014,0.036,0.0,0.326,+,0.0,0.0,9.80665,0.644,0.269,0.282,4.3,5.6,5.2,2.4,8.8,0.9,836,0.18667260000000008,1,0,0
0.091,0.017,0.001,0.165,+,0.0,0.0,9.80665,0.258,0.644,0.342,11.6,1.9,18.2,7.0,7.4,2.4,803,0.18260690000000013,1,0,0
0.059,0.007,0.002,0.831,x,0.0,0.0,9.80665,0.553,0.104,0.052,19.0,12.3,8.5,4.9,0.4,0.8,802,0.39890760000000003,58,0,0
0.01,0.034,0.001,0.38,+,0.0,0.0,9.80665,0.465,0.174,0.319,11.1,7.7,2.0,5.4,7.1,0.4,831,0.19269374000000017,1,0,0
0.044,0.038,0.003,0.226,+,0.0,0.0,9.80665,0.427,0.418,0.597,8.6,15.4,3.1,4.9,8.8,8.7,822,0.18734930000000016,1,0,0
0.041,0.08,0.01,0.453,+,0.0,0.0,9.80665,0.478,0.528,0.059,17.4,0.4,5.5,2.0,7.5,1.0,854,0.1952383000000001,1,0,0
0.061,0.031,0.002,0.125,x,0.0,0.0,9.80665,0.493,0.139,0.084,13.5,3.3,12.0,6.9,5.9,4.4,870,0.1792846600000001,1,0,0
0.1,0.06,0.009,0.684,x,0.0,0.0,9.80665,0.646,0.163,0.048,17.3,17.8,4.3,7.9,7.7,8.2,544,0.3261470000000001,57,0,0
0.053,0.076,0.005,0.616,x,0.0,0.0,9.80665,0.335,0.58,0.187,6.3,19.3,5.6,0.9,0.3,9.8,910,0.3889802400000001,55,0,0
0.089,0.036,0.01,0.539,x,0.0,0.0,9.80665,0.022,0.157,0.066,7.5,14.3,16.4,6.0,5.4,1.1,911,0.19324085000000013,1,0,0
0.058,0.036,0.006,0.702,x,0.0,0.0,9.80665,0.549,0.468,0.493,12.9,16.5,15.9,8.2,8.2,5.0,859,0.3865973600000001,56,0,0
0.027,0.041,0.006,0.516,x,0.0,0.0,9.80665,0.289,0.339,0.624,8.8,13.2,4.0,2.3,1.1,7.1,900,0.18794575000000013,1,0,0
0.043,0.069,0.003,0.423,+,0.0,0.0,9.80665,0.532,0.551,0.099,2.1,12.4,4.2,2.6,8.1,1.9,864,0.1793779000000001,1,0,0
0.088,0.025,0.003,0.689,+,0.0,0.0,9.80665,0.001,0.063,0.337,10.8,15.2,3.9,3.8,7.0,2.0,892,0.20235190000000014,1,0,0
0.07,0.018,0.009,0.791,+,0.0,0.0,9.80665,0.49,0.042,0.596,14.2,18.1,7.6,6.0,6.2,0.2,870,0.39545530000000007,58,0,0
0.086,0.072,0.004,0.311,x,0.0,0.0,9.80665,0.178,0.332,0.311,1.6,2.1,7.7,4.3,7.4,6.8,771,0.0,0,0,0
0.069,0.015,0.006,0.594,x,0.0,0.0,9.80665,0.471,0.486,0.16,12.9,9.6,10.3,9.6,1.6,1.6,521,0.10068330000000014,1,0,0
0.024,0.054,0.002,0.157,+,0.0,0.0,9.80665,0.563,0.611,0.646,12.9,7.8,9.1,6.7,8.1,1.4,385,0.09410426000000016,1,0,0
0.053,0.035,0.008,0.38,+,0.0,0.0,9.80665,0.141,0.441,0.455,12.7,5.2,5.4,3.9,9.5,0.4,859,0.1787662000000002,1,0,0
0.015,0.027,0.008,0.827,+,0.0,0.0,9.80665,0.647,0.294,0.64,0.9,17.7,8.4,6.2,5.2,7.6,927,0.21159300000000003,2,0,0
0.057,0.084,0.006,0.565,x,0.0,0.0,9.80665,0.635,0.42,0.459,3.2,9.7,5.8,8.4,1.2,5.5,861,0.18422860000000008,1,0,0
0.051,0.085,0.002,0.625,x,0.0,0.0,9.80665,0.461,0.588,0.112,0.2,4.7,6.6,8.9,8.2,8.6,806,0.1832602000000002,1,0,0
0.051,0.083,0.008,0.163,+,0.0,0.0,9.80665,0.298,0.387,0.082,11.2,2.4,0.9,5.8,9.7,4.5,867,0.18090070000000014,1,0,0
0.095,0.052,0.003,0.466,+,0.0,0.0,9.80665,0.594,0.257,0.456,18.3,9.8,7.0,8.0,3.2,7.6,850,0.37801775000000015,54,0,0
