Sensor Noise Accelerometer,Sensor Noise Gyroscope,Sensor Noise Magnetometer,Sensor Noise Pressure,Rotor Orientation,Gravity_x,Gravity_y,Gravity_z,Magnetic Field_x,Magnetic Field_y,Magnetic Field_z,Wind_x,Wind_y,Wind_z,Wind Deviation_x,Wind Deviation_y,Wind Deviation_z,Number of Iterations,Battery Consumption,Number of Ground Contacts,Number of Engine Failures,Number of Mission Failures
1.28,0.128,0.1024,0.16,x,0.0,0.0,9.80665,0.21523,0.65,0.42741,20.0,20.0,0.0,10.0,0.0,0.0,696,0.39128640000000003,63,0,0
0.64,0.128,0.0128,1.28,x,0.0,0.0,9.80665,0.4,0.2,0.65,10.0,0.0,10.0,10.0,10.0,1.0,791,0.18422340000000004,1,0,0
0.01,0.128,0.0016,1.28,x,0.0,0.0,9.80665,0.4,0.0,0.2,20.0,10.0,20.0,1.0,1.0,10.0,620,0.3568410000000001,59,0,0
0.16,0.001,0.0001,1.28,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,0.0,1.0,0.0,0.0,0.0,1.0,815,0.0,0,0,0
1.28,0.128,0.0016,0.01,+,0.0,0.0,9.80665,0.21523,0.65,0.65,0.0,10.0,1.0,1.0,10.0,10.0,818,0.18781700000000012,2,0,0
0.64,0.001,0.0128,1.28,x,0.0,0.0,9.80665,0.4,0.65,0.65,10.0,20.0,10.0,1.0,1.0,1.0,813,0.0,0,0,0
0.16,0.001,0.0128,0.16,+,0.0,0.0,9.80665,0.4,0.2,0.2,1.0,0.0,1.0,1.0,10.0,10.0,821,0.0,0,0,0
0.64,0.128,0.0512,1.28,x,0.0,0.0,9.80665,0.65,0.2,0.65,1.0,0.0,10.0,1.0,10.0,10.0,805,0.1844713400000001,1,0,0
0.64,0.001,0.0128,0.16,x,0.0,0.0,9.80665,0.21523,0.65,0.0,0.0,1.0,1.0,10.0,0.0,10.0,811,0.1864255400000001,1,0,0
0.01,0.016,0.0001,1.28,+,0.0,0.0,9.80665,0.65,0.2,0.65,0.0,0.0,10.0,1.0,0.0,0.0,805,0.0,0,0,0
1.28,0.128,0.1024,0.01,+,0.0,0.0,9.80665,0.0,0.2,0.42741,0.0,0.0,20.0,0.0,10.0,1.0,818,0.18614550000000007,1,0,0
0.01,0.016,0.0016,0.16,+,0.0,0.0,9.80665,0.65,0.65,0.2,0.0,10.0,1.0,0.0,0.0,1.0,822,0.0,0,0,0
1.28,0.128,0.0128,1.28,x,0.0,0.0,9.80665,0.21523,0.0,0.65,10.0,1.0,10.0,10.0,10.0,10.0,800,0.0,0,0,0
0.16,0.016,0.0512,0.01,+,0.0,0.0,9.80665,0.4,0.65,0.65,10.0,10.0,10.0,10.0,0.0,10.0,826,0.0,0,0,0
1.28,0.001,0.0001,0.16,x,0.0,0.0,9.80665,0.65,0.65,0.65,1.0,20.0,20.0,10.0,10.0,1.0,804,0.3821120600000001,56,0,0
0.64,0.001,0.1024,0.01,x,0.0,0.0,9.80665,0.4,0.65,0.2,0.0,20.0,0.0,0.0,10.0,10.0,842,0.3985217500000001,56,0,0
0.64,0.001,0.0512,0.64,x,0.0,0.0,9.80665,0.21523,0.0,0.65,0.0,0.0,0.0,0.0,1.0,1.0,792,0.1828323300000001,1,0,0
0.16,0.128,0.0001,1.28,+,0.0,0.0,9.80665,0.4,0.65,0.2,1.0,0.0,0.0,10.0,1.0,0.0,823,0.1884698600000001,1,0,0
0.01,0.001,0.0001,0.16,x,0.0,0.0,9.80665,0.21523,0.65,0.0,10.0,0.0,0.0,0.0,10.0,1.0,799,0.0,0,0,0
0.64,0.016,0.0128,0.16,+,0.0,0.0,9.80665,0.21523,0.2,0.65,0.0,0.0,0.0,0.0,0.0,10.0,808,0.0,0,0,0
0.01,0.016,0.0016,0.16,+,0.0,0.0,9.80665,0.21523,0.65,0.42741,10.0,1.0,1.0,0.0,0.0,0.0,806,0.18826655000000014,1,0,0
0.64,0.016,0.0016,0.01,x,0.0,0.0,9.80665,0.65,0.0,0.0,1.0,1.0,1.0,0.0,1.0,10.0,814,0.18581954000000012,1,0,0
0.01,0.128,0.0001,1.28,x,0.0,0.0,9.80665,0.65,0.0,0.2,1.0,0.0,20.0,0.0,0.0,0.0,791,0.18118814000000016,1,0,0
0.01,0.016,0.0512,0.16,x,0.0,0.0,9.80665,0.0,0.0,0.0,0.0,1.0,0.0,10.0,10.0,10.0,807,0.18617365000000008,1,0,0
1.28,0.128,0.0512,0.16,+,0.0,0.0,9.80665,0.21523,0.2,0.65,10.0,1.0,10.0,1.0,1.0,0.0,802,0.18438730000000014,1,0,0
0.01,0.128,0.0128,0.01,x,0.0,0.0,9.80665,0.0,0.0,0.2,0.0,1.0,10.0,0.0,0.0,0.0,803,0.18464130000000023,1,0,0
0.64,0.128,0.0128,0.01,x,0.0,0.0,9.80665,0.21523,0.65,0.42741,1.0,0.0,0.0,0.0,10.0,0.0,483,0.0064382000000001716,1,0,0
0.16,0.128,0.0016,0.01,+,0.0,0.0,9.80665,0.4,0.65,0.2,20.0,0.0,0.0,10.0,10.0,0.0,783,0.38709590000000016,57,0,0
0.01,0.128,0.0016,0.16,+,0.0,0.0,9.80665,0.21523,0.65,0.2,20.0,1.0,20.0,1.0,0.0,10.0,510,0.33921230000000013,60,0,0
0.01,0.128,0.0001,0.16,+,0.0,0.0,9.80665,0.21523,0.2,0.0,20.0,0.0,0.0,10.0,0.0,1.0,776,0.3694732500000001,52,0,0
0.64,0.001,0.0016,1.28,x,0.0,0.0,9.80665,0.21523,0.0,0.65,0.0,1.0,1.0,0.0,1.0,10.0,794,0.16113410000000006,0,0,0
1.28,0.128,0.0001,0.16,x,0.0,0.0,9.80665,0.21523,0.0,0.42741,0.0,20.0,1.0,0.0,10.0,1.0,776,0.3535994000000001,49,0,0
0.64,0.001,0.0128,1.28,+,0.0,0.0,9.80665,0.0,0.0,0.65,1.0,0.0,0.0,1.0,0.0,10.0,809,0.18804070000000017,1,0,0
0.01,0.128,0.0016,0.01,+,0.0,0.0,9.80665,0.0,0.2,0.65,20.0,1.0,20.0,1.0,0.0,1.0,62,0.0,0,0,0
0.16,0.001,0.0512,0.16,x,0.0,0.0,9.80665,0.4,0.2,0.65,20.0,0.0,10.0,1.0,10.0,1.0,803,0.37714380000000014,53,0,0
1.28,0.128,0.0512,0.01,x,0.0,0.0,9.80665,0.65,0.0,0.42741,1.0,10.0,1.0,10.0,1.0,1.0,825,0.18804935000000012,1,0,0
0.16,0.128,0.0512,0.16,+,0.0,0.0,9.80665,0.4,0.2,0.0,10.0,10.0,20.0,10.0,0.0,1.0,752,0.21969620000000023,10,0,0
0.01,0.128,0.0512,0.64,+,0.0,0.0,9.80665,0.21523,0.2,0.42741,20.0,20.0,20.0,0.0,10.0,1.0,62,0.24696390000000012,61,0,0
1.28,0.128,0.1024,0.64,x,0.0,0.0,9.80665,0.65,0.2,0.2,10.0,0.0,20.0,0.0,10.0,0.0,816,0.1872509000000001,1,0,0
1.28,0.016,0.0128,0.01,x,0.0,0.0,9.80665,0.4,0.0,0.65,20.0,0.0,10.0,0.0,10.0,10.0,813,0.0,0,0,0
0.16,0.128,0.0512,0.64,x,0.0,0.0,9.80665,0.0,0.65,0.2,0.0,10.0,10.0,10.0,10.0,0.0,828,0.0,0,0,0
0.01,0.001,0.0128,0.16,x,0.0,0.0,9.80665,0.21523,0.0,0.2,0.0,1.0,10.0,0.0,0.0,10.0,796,0.0,0,0,0
0.01,0.001,0.0512,0.64,x,0.0,0.0,9.80665,0.4,0.65,0.2,1.0,1.0,10.0,1.0,10.0,0.0,820,0.18577185000000007,1,0,0
0.01,0.128,0.0016,1.28,x,0.0,0.0,9.80665,0.65,0.2,0.2,0.0,0.0,10.0,1.0,1.0,1.0,781,0.1800056000000001,1,0,0
0.64,0.128,0.1024,0.16,x,0.0,0.0,9.80665,0.0,0.0,0.42741,0.0,1.0,0.0,0.0,0.0,0.0,482,0.007485540000000124,1,0,0
0.64,0.128,0.0016,1.28,+,0.0,0.0,9.80665,0.0,0.2,0.0,1.0,0.0,20.0,1.0,1.0,0.0,825,0.1881712000000002,1,0,0
0.01,0.016,0.0512,0.16,x,0.0,0.0,9.80665,0.65,0.0,0.2,10.0,0.0,0.0,10.0,10.0,10.0,808,0.1827096600000001,1,0,0
0.64,0.001,0.0128,0.01,x,0.0,0.0,9.80665,0.4,0.2,0.42741,20.0,0.0,10.0,1.0,0.0,10.0,791,0.37471330000000014,52,0,0
1.28,0.001,0.1024,1.28,+,0.0,0.0,9.80665,0.0,0.0,0.42741,20.0,0.0,20.0,10.0,10.0,1.0,65,0.0,0,0,0
0.64,0.016,0.1024,0.01,x,0.0,0.0,9.80665,0.4,0.65,0.42741,10.0,1.0,1.0,1.0,0.0,0.0,811,0.18354544000000017,1,0,0
0.01,0.001,0.0016,1.28,x,0.0,0.0,9.80665,0.65,0.0,0.65,10.0,1.0,10.0,0.0,0.0,1.0,812,0.18634406000000014,1,0,0
1.28,0.001,0.0016,0.01,+,0.0,0.0,9.80665,0.0,0.65,0.65,10.0,20.0,1.0,1.0,10.0,10.0,829,0.33422026000000016,36,0,0
0.64,0.128,0.0001,0.16,x,0.0,0.0,9.80665,0.65,0.65,0.42741,1.0,1.0,1.0,1.0,10.0,1.0,798,0.18616330000000014,1,0,0
0.16,0.016,0.1024,0.16,x,0.0,0.0,9.80665,0.0,0.2,0.42741,0.0,1.0,20.0,0.0,0.0,0.0,812,0.0,0,0,0
0.01,0.128,0.0016,0.01,+,0.0,0.0,9.80665,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,804,0.18352374000000016,1,0,0
0.01,0.016,0.0001,0.16,x,0.0,0.0,9.80665,0.65,0.65,0.2,20.0,10.0,0.0,0.0,1.0,1.0,812,0.0,0,0,0
0.64,0.128,0.0128,0.01,x,0.0,0.0,9.80665,0.21523,0.2,0.65,10.0,20.0,0.0,10.0,1.0,0.0,802,0.0,0,0,0
1.28,0.128,0.0016,1.28,+,0.0,0.0,9.80665,0.4,0.0,0.42741,1.0,10.0,20.0,0.0,0.0,0.0,719,0.1624705500000001,1,0,0
0.01,0.016,0.0001,0.64,+,0.0,0.0,9.80665,0.4,0.65,0.65,20.0,20.0,10.0,0.0,0.0,0.0,808,0.4090148000000001,61,0,0
1.28,0.016,0.0128,0.64,x,0.0,0.0,9.80665,0.0,0.0,0.42741,10.0,20.0,0.0,10.0,0.0,10.0,814,0.0,0,0,0
0.16,0.128,0.0016,0.64,+,0.0,0.0,9.80665,0.0,0.2,0.65,0.0,10.0,0.0,1.0,10.0,10.0,808,0.1850743600000001,1,0,0
0.01,0.016,0.0001,1.28,x,0.0,0.0,9.80665,0.0,0.65,0.0,10.0,0.0,0.0,0.0,0.0,10.0,811,0.0,0,0,0
0.01,0.016,0.0016,0.01,+,0.0,0.0,9.80665,0.0,0.65,0.42741,0.0,1.0,0.0,1.0,1.0,0.0,805,0.0,0,0,0
0.01,0.001,0.0001,0.01,x,0.0,0.0,9.80665,0.21523,0.65,0.65,10.0,1.0,1.0,10.0,0.0,10.0,819,0.18740780000000012,1,0,0
0.01,0.016,0.0512,0.01,x,0.0,0.0,9.80665,0.65,0.2,0.0,10.0,1.0,10.0,10.0,0.0,0.0,823,0.1873887500000001,1,0,0
0.16,0.016,0.0512,0.16,+,0.0,0.0,9.80665,0.4,0.65,0.65,10.0,20.0,1.0,1.0,10.0,1.0,823,0.40086260000000007,57,0,0
0.01,0.016,0.0001,0.01,+,0.0,0.0,9.80665,0.21523,0.0,0.0,20.0,20.0,10.0,1.0,1.0,10.0,803,0.0,0,0,0
0.64,0.128,0.0001,0.01,x,0.0,0.0,9.80665,0.21523,0.2,0.2,10.0,1.0,0.0,1.0,10.0,0.0,791,0.18207680000000015,1,0,0
0.01,0.001,0.0128,1.28,+,0.0,0.0,9.80665,0.0,0.2,0.42741,10.0,1.0,0.0,10.0,10.0,10.0,814,0.18767570000000022,1,0,0
1.28,0.016,0.0512,1.28,+,0.0,0.0,9.80665,0.21523,0.65,0.65,20.0,10.0,0.0,10.0,0.0,1.0,814,0.5860236000000001,96,0,0
