Sensor Noise Accelerometer,Sensor Noise Gyroscope,Sensor Noise Magnetometer,Sensor Noise Pressure,Rotor Orientation,Gravity_x,Gravity_y,Gravity_z,Magnetic Field_x,Magnetic Field_y,Magnetic Field_z,Wind_x,Wind_y,Wind_z,Wind Deviation_x,Wind Deviation_y,Wind Deviation_z,Error Type
0.7,0.492,0.071,0.921,+,0.0,0.0,9.80665,0.234,0.51,0.156,11.7,3.3,5.7,8.9,5.4,4.4,Arming
0.279,0.141,0.038,0.721,x,0.0,0.0,9.80665,0.468,0.376,0.087,16.6,18.3,18.0,7.7,5.6,8.0,Dangerous battery level
0.729,0.893,0.067,0.029,+,0.0,0.0,9.80665,0.16,0.42,0.494,7.5,16.2,7.3,7.1,3.5,0.6,Arming
0.709,0.52,0.087,0.976,x,0.0,0.0,9.80665,0.269,0.353,0.28,17.9,13.9,13.9,4.4,8.0,4.5,Arming
0.025,0.398,0.062,0.364,+,0.0,0.0,9.80665,0.357,0.077,0.546,10.2,14.7,6.0,3.0,7.1,3.6,Landing
0.534,0.002,0.024,0.758,+,0.0,0.0,9.80665,0.418,0.336,0.007,13.3,7.7,0.3,1.5,5.4,3.4,Arming
0.178,0.06,0.044,0.958,x,0.0,0.0,9.80665,0.51,0.391,0.358,4.9,19.5,16.9,6.0,8.6,9.1,Arming
0.409,0.78,0.052,0.259,x,0.0,0.0,9.80665,0.367,0.161,0.29,11.8,6.9,17.7,2.6,6.5,3.7,Takeoff
0.26,0.099,0.078,0.041,+,0.0,0.0,9.80665,0.096,0.627,0.241,11.2,5.5,15.2,6.9,8.9,4.5,Arming
0.893,0.78,0.044,0.55,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,13.8,5.2,18.1,6.6,6.1,7.3,Arming
0.207,0.43,0.081,0.571,x,0.0,0.0,9.80665,0.3,0.438,0.17,8.0,12.3,2.3,9.1,6.1,4.3,Arming
0.426,0.561,0.069,0.896,x,0.0,0.0,9.80665,0.21523,0.0,0.42741,0.8,12.4,10.7,8.1,3.7,7.2,Arming
0.784,0.863,0.028,0.915,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,19.9,9.7,1.7,5.8,9.4,9.0,Arming
0.976,0.768,0.062,0.446,x,0.0,0.0,9.80665,0.19,0.596,0.034,14.8,18.2,5.8,1.1,6.3,2.3,Landing
0.767,0.755,0.024,0.633,x,0.0,0.0,9.80665,0.161,0.152,0.184,9.7,11.0,19.6,2.2,7.8,7.8,Arming
